Time [ms],CPU usage [%],GC activity [%],Size [B],Used [B]
"9:33:48.636 PM, Apr 22, 2015",0,0,1923088384,514797736
"9:33:49.631 PM, Apr 22, 2015",0.2,0,1923088384,514797880
"9:33:50.631 PM, Apr 22, 2015",0.4,0,1923088384,514798168
"9:33:51.631 PM, Apr 22, 2015",0.1,0,1923088384,514798312
"9:33:52.631 PM, Apr 22, 2015",0.2,0,1923088384,514798528
"9:33:53.631 PM, Apr 22, 2015",0.2,0,1923088384,514798672
"9:33:54.631 PM, Apr 22, 2015",3.4,0,1923088384,547169000
"9:33:55.632 PM, Apr 22, 2015",13.3,0,1923088384,772067760
"9:33:56.632 PM, Apr 22, 2015",0.2,0,1923088384,772067880
"9:33:57.632 PM, Apr 22, 2015",0.2,0,1923088384,772067920
"9:33:58.632 PM, Apr 22, 2015",14.2,0,1923088384,825547848
"9:33:59.632 PM, Apr 22, 2015",13.6,0,1923088384,869533560
"9:34:00.632 PM, Apr 22, 2015",13.3,0,1923088384,909012944
"9:34:01.632 PM, Apr 22, 2015",12.7,0,1923088384,933349080
"9:34:02.632 PM, Apr 22, 2015",12.5,0,1923088384,969104488
"9:34:03.632 PM, Apr 22, 2015",13.2,0,1923088384,989942336
"9:34:04.632 PM, Apr 22, 2015",12.7,0,1923088384,1035322760
"9:34:05.632 PM, Apr 22, 2015",12.3,0,1923088384,1051161976
"9:34:06.633 PM, Apr 22, 2015",12.7,0,1923088384,1066808032
"9:34:07.633 PM, Apr 22, 2015",12.4,0,1923088384,1098101416
"9:34:08.633 PM, Apr 22, 2015",12.6,0,1923088384,1153193904
"9:34:09.633 PM, Apr 22, 2015",12.5,0,1923088384,1153193944
"9:34:10.633 PM, Apr 22, 2015",12.4,0,1923088384,1211729648
"9:34:11.633 PM, Apr 22, 2015",13.1,0,1923088384,1211729688
"9:34:12.633 PM, Apr 22, 2015",12.4,0,1923088384,1254287368
"9:34:13.633 PM, Apr 22, 2015",12.6,0,1923088384,1271192232
"9:34:14.633 PM, Apr 22, 2015",12.4,0,1923088384,1302221344
"9:34:15.633 PM, Apr 22, 2015",12.5,0,1923088384,1326480560
"9:34:16.633 PM, Apr 22, 2015",12.6,0,1923088384,1403708656
"9:34:17.633 PM, Apr 22, 2015",12.4,0,1923088384,1403708696
"9:34:18.633 PM, Apr 22, 2015",12.4,0,1923088384,1456678080
"9:34:19.634 PM, Apr 22, 2015",12.5,0,1923088384,1456678120
"9:34:20.634 PM, Apr 22, 2015",13.2,0,1923088384,1472517336
"9:34:21.634 PM, Apr 22, 2015",12.4,0,1923088384,1564161800
"9:34:22.634 PM, Apr 22, 2015",12.4,0,1923088384,1564161840
"9:34:23.634 PM, Apr 22, 2015",12.6,0,1923088384,1564161880
"9:34:24.634 PM, Apr 22, 2015",34.1,8.2,4148166656,941714736
"9:34:25.634 PM, Apr 22, 2015",96.6,1.5,4029153280,1178499448
"9:34:26.634 PM, Apr 22, 2015",93.5,0.5,4118806528,1175975016
"9:34:27.634 PM, Apr 22, 2015",95.3,0,4146069504,2733129352
"9:34:28.634 PM, Apr 22, 2015",74,1,4148166656,1106717896
"9:34:29.634 PM, Apr 22, 2015",37.3,10.2,4168089600,1400994392
"9:34:31.799 PM, Apr 22, 2015",97.6,0,4168089600,2090034440
"9:34:31.951 PM, Apr 22, 2015",91.9,0,4168089600,2514323000
"9:34:32.635 PM, Apr 22, 2015",98.8,0,4219469824,2670325824
"9:34:33.635 PM, Apr 22, 2015",93,0,4217896960,2031183792
"9:34:34.635 PM, Apr 22, 2015",75.5,1.1,4207935488,2659283056
"9:34:35.635 PM, Apr 22, 2015",92.4,3.4,4219469824,1111956624
"9:34:36.635 PM, Apr 22, 2015",94.4,1.9,4219469824,1729756232
"9:34:37.635 PM, Apr 22, 2015",93.8,1.6,4219469824,2589360072
"9:34:38.635 PM, Apr 22, 2015",71.4,0.7,4183818240,3111392976
"9:34:39.635 PM, Apr 22, 2015",96.7,3.8,4219469824,1523090232
"9:34:40.636 PM, Apr 22, 2015",97.1,1.9,4219469824,2721575208
"9:34:41.636 PM, Apr 22, 2015",89.8,1.8,4219469824,1079448848
"9:34:42.636 PM, Apr 22, 2015",78.7,1.4,4199546880,1992807784
"9:34:43.636 PM, Apr 22, 2015",100,1.9,4219469824,2839210112
"9:34:44.636 PM, Apr 22, 2015",93.7,3.1,4210032640,1265863224
"9:34:45.636 PM, Apr 22, 2015",77.1,0.9,4204265472,1958690008
"9:34:46.636 PM, Apr 22, 2015",98.3,2.7,4219469824,1112104128
"9:34:47.636 PM, Apr 22, 2015",100,1.8,4219469824,1655941704
"9:34:48.636 PM, Apr 22, 2015",96.6,1.4,4208459776,3004598128
"9:34:49.637 PM, Apr 22, 2015",46.4,0.8,4219469824,2251665896
"9:34:50.637 PM, Apr 22, 2015",13.4,0,4219469824,2307775168
"9:34:51.637 PM, Apr 22, 2015",12.6,0,4219469824,2321369632
"9:34:52.637 PM, Apr 22, 2015",12.5,0,4219469824,2353497272
"9:34:53.637 PM, Apr 22, 2015",12.4,0,4219469824,2378093696
"9:34:54.637 PM, Apr 22, 2015",12.4,0,4219469824,2414123408
"9:34:55.637 PM, Apr 22, 2015",12.6,0,4219469824,2435215040
"9:34:56.637 PM, Apr 22, 2015",12.4,0,4219469824,2480847432
"9:34:57.637 PM, Apr 22, 2015",12.6,0,4219469824,2484533536
"9:34:58.637 PM, Apr 22, 2015",12.6,0,4219469824,2516275248
"9:34:59.637 PM, Apr 22, 2015",12.4,0,4219469824,2547822792
"9:35:00.637 PM, Apr 22, 2015",12.3,0,4219469824,2603719152
"9:35:01.637 PM, Apr 22, 2015",12.7,0,4219469824,2603973288
"9:35:02.637 PM, Apr 22, 2015",12.4,0,4219469824,2620205456
"9:35:03.637 PM, Apr 22, 2015",12.4,0,4219469824,2663017160
"9:35:04.638 PM, Apr 22, 2015",13.1,0,4219469824,2663284760
"9:35:05.638 PM, Apr 22, 2015",12.6,0,4219469824,2706093928
"9:35:06.638 PM, Apr 22, 2015",12.6,0,4219469824,2723253296
"9:35:07.638 PM, Apr 22, 2015",12.5,0,4219469824,2742791864
"9:35:08.638 PM, Apr 22, 2015",12.4,0,4219469824,2779049880
"9:35:09.638 PM, Apr 22, 2015",12.7,0,4219469824,2803562584
"9:35:10.638 PM, Apr 22, 2015",12.5,0,4219469824,2856786240
"9:35:11.638 PM, Apr 22, 2015",12.6,0,4219469824,2857038232
"9:35:12.638 PM, Apr 22, 2015",12.3,0,4219469824,2910261752
"9:35:13.638 PM, Apr 22, 2015",12.4,0,4219469824,2910515912
"9:35:14.638 PM, Apr 22, 2015",12.6,0,4219469824,2926622616
"9:35:15.638 PM, Apr 22, 2015",12.4,0,4219469824,3021575952
"9:35:16.639 PM, Apr 22, 2015",12.5,0,4219469824,3021832344
"9:35:17.639 PM, Apr 22, 2015",12.6,0,4219469824,3022084408
"9:35:18.639 PM, Apr 22, 2015",35.2,5.9,4227858432,830495760
"9:35:19.639 PM, Apr 22, 2015",96.7,0,4227858432,2879467624
"9:35:20.639 PM, Apr 22, 2015",39,0.2,4227858432,1387751216
"9:35:21.639 PM, Apr 22, 2015",12.6,0,4227858432,1418661488
"9:35:22.639 PM, Apr 22, 2015",12.4,0,4227858432,1448573592
"9:35:23.639 PM, Apr 22, 2015",12.4,0,4227858432,1465894904
"9:35:24.639 PM, Apr 22, 2015",12.5,0,4227858432,1501398776
"9:35:25.639 PM, Apr 22, 2015",13.2,0,4227858432,1524721528
"9:35:26.639 PM, Apr 22, 2015",12.3,0,4227858432,1545837960
"9:35:27.639 PM, Apr 22, 2015",12.7,0,4227858432,1591466064
"9:35:28.639 PM, Apr 22, 2015",12.4,0,4227858432,1607580568
"9:35:29.640 PM, Apr 22, 2015",12.4,0,4227858432,1623481552
"9:35:30.640 PM, Apr 22, 2015",12.6,0,4227858432,1655022408
